Run   2:,Pupil H1 ,Pupil V1 ,Pupil D1 ,P-CR H1  ,P-CR V1  ,Dig Inp 1A
145644,  179.30,  128.30,  155.00,  -16.60,  -13.70,   14.00
145645,  179.40,  128.30,  153.00,  -16.40,  -13.70,   14.00
145646,  179.40,  128.30,  154.00,  -16.60,  -13.80,   14.00
145647,  179.00,  128.30,  155.00,  -16.80,  -13.80,   14.00
145648,  179.30,  128.60,  154.00,  -16.80,  -13.50,   14.00
145649,  179.00,  128.60,  154.00,  -17.00,  -13.50,   14.00
145650,  178.60,  128.50,  151.00,  -17.50,  -13.60,   14.00
145651,  178.90,  128.50,  152.00,  -17.00,  -13.60,   14.00
145652,  179.30,  128.40,  151.00,  -17.00,  -13.70,   14.00
145653,  179.10,  128.30,  154.00,  -17.00,  -13.70,   14.00
145654,  178.90,  128.30,  151.00,  -17.30,  -13.80,   14.00
145655,  179.00,  128.30,  152.00,  -17.10,  -13.80,   14.00
145656,  178.50,  128.30,  153.00,  -17.80,  -13.80,   14.00
145657,  178.90,  128.40,  152.00,  -17.40,  -13.60,   14.00
145658,  178.90,  128.50,  152.00,  -17.40,  -13.60,   14.00
145659,  179.50,  128.30,  154.00,  -16.70,  -13.90,   14.00
145660,  177.80,  131.50,  153.00,  -18.00,  -12.90,   14.00
145661,  178.10,  137.10,  154.00,  -17.20,  -10.70,   14.00
145662,  178.30,  144.60,  154.00,  -16.90,   -7.80,   14.00
145663,  180.00,  149.10,  156.00,  -15.50,   -5.40,   14.00
145664,  181.30,  151.60,  154.00,  -15.10,   -3.80,   14.00
145665,  182.10,  151.30,  154.00,  -14.80,   -4.60,   14.00
145666,  182.30,  151.20,  155.00,  -15.20,   -4.50,   14.00
145667,  182.80,  151.30,  154.00,  -14.60,   -4.30,   14.00
145668,  182.80,  151.30,  156.00,  -14.70,   -4.10,   14.00
145669,  182.90,  151.30,  157.00,  -14.70,   -4.10,   14.00
145670,  182.90,  151.30,  156.00,  -14.70,   -4.10,   14.00
145671,  183.10,  151.20,  158.00,  -14.70,   -4.10,   14.00
145672,  183.20,  151.20,  157.00,  -14.60,   -4.10,   14.00
145673,  183.00,  151.30,  158.00,  -14.70,   -3.90,   14.00
145674,  182.90,  151.30,  157.00,  -14.90,   -3.90,   14.00
145675,  183.10,  151.20,  158.00,  -14.90,   -4.00,   14.00
145676,  183.30,  151.30,  158.00,  -14.60,   -3.80,   14.00
145677,  183.50,  151.30,  157.00,  -14.50,   -3.80,   14.00
145678,  183.10,  151.30,  158.00,  -14.80,   -3.80,   14.00
145679,  183.30,  151.30,  157.00,  -14.80,   -3.80,   14.00
145680,  183.20,  151.40,  157.00,  -14.70,   -3.80,   14.00
145681,  183.50,  151.50,  159.00,  -14.60,   -3.60,   14.00
145682,  182.90,  151.50,  158.00,  -15.00,   -3.60,   14.00
145683,  183.10,  151.50,  158.00,  -15.00,   -3.60,   14.00
145684,  183.30,  151.50,  158.00,  -14.80,   -3.60,   14.00
145685,  183.10,  151.50,  156.00,  -15.20,   -3.60,   14.00
145686,  183.30,  151.50,  158.00,  -14.70,   -3.60,   14.00
145687,  183.30,  151.30,  157.00,  -14.80,   -3.70,   14.00
145688,  183.10,  151.40,  157.00,  -15.00,   -3.60,   14.00
145689,  183.20,  151.50,  158.00,  -14.90,   -3.50,   14.00
145690,  183.10,  151.40,  159.00,  -15.10,   -3.60,   14.00
145691,  183.30,  151.40,  158.00,  -14.80,   -3.60,   14.00
145692,  183.30,  151.50,  158.00,  -14.90,   -3.50,   14.00
145693,  183.30,  151.50,  158.00,  -15.00,   -3.60,   14.00
145694,  183.40,  151.50,  157.00,  -14.60,   -3.60,   14.00
145695,  183.50,  151.50,  159.00,  -14.80,   -3.50,   14.00
145696,  183.30,  151.40,  159.00,  -14.90,   -3.60,   14.00
145697,  183.60,  151.30,  159.00,  -14.60,   -3.60,   14.00
145698,  183.30,  151.30,  159.00,  -14.80,   -3.60,   14.00
145699,  183.50,  151.30,  159.00,  -14.80,   -3.60,   14.00
145700,  183.50,  151.30,  161.00,  -14.80,   -3.60,   14.00
145701,  183.60,  151.30,  159.00,  -14.70,   -3.70,   14.00
145702,  183.60,  151.30,  159.00,  -14.60,   -3.70,   14.00
145703,  183.50,  151.30,  159.00,  -14.80,   -3.60,   14.00
145704,  183.40,  151.30,  160.00,  -14.90,   -3.60,   14.00
145705,  183.50,  151.30,  159.00,  -14.80,   -3.60,   14.00
145706,  183.40,  151.30,  159.00,  -14.90,   -3.60,   14.00
145707,  183.80,  151.30,  159.00,  -14.60,   -3.60,   14.00
145708,  183.50,  151.20,  158.00,  -14.90,   -3.60,   14.00
